test_name,no. RCI different,percentage different
adapted_12b_core_generation_auto_long_one,52,59.09
adapted_12b_core_generation_auto_long_three,51,57.95
adapted_12b_core_generation_auto_short_one,52,59.09
adapted_12b_core_generation_auto_short_three,60,68.18
adapted_12b_core_generation_xl_long_one,64,72.73
adapted_12b_core_generation_xl_long_three,58,65.91
adapted_12b_core_generation_xl_long_zero,32,36.36
adapted_12b_core_generation_xl_short_one,62,70.45
adapted_12b_core_generation_xl_short_three,59,67.05
adapted_12b_core_generation_xl_short_zero,26,29.55
adapted_12b_core_summarization_auto_long_one,58,65.91
adapted_12b_core_summarization_auto_long_three,55,62.50
adapted_12b_core_summarization_auto_short_one,56,63.64
adapted_12b_core_summarization_auto_short_three,60,68.18
adapted_12b_core_summarization_xl_long_one,62,70.45
adapted_12b_core_summarization_xl_long_three,60,68.18
adapted_12b_core_summarization_xl_long_zero,82,93.18
adapted_12b_core_summarization_xl_short_one,51,57.95
adapted_12b_core_summarization_xl_short_three,57,64.77
adapted_12b_core_summarization_xl_short_zero,67,76.14
