test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-xl-long-one,10.66,48.33,19.72,37.66,72.35
adapted_12b_extended-xl-long-one-rci,11.10,49.02,19.42,37.54,72.37
