test_name,language,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-auto-short-three,c,12.99,53.22,25.93,44.68,75.38
adapted_12b_extended-auto-short-three,cpp,9.79,46.10,22.65,40.16,73.10
adapted_12b_extended-auto-short-three,java,14.38,50.13,28.75,45.23,73.98
adapted_12b_extended-auto-short-three,python,22.97,57.19,33.70,50.58,77.20
adapted_12b_extended-auto-short-three-rci,c,12.70,52.70,25.05,43.91,75.75
adapted_12b_extended-auto-short-three-rci,cpp,9.22,44.28,21.16,38.53,73.13
adapted_12b_extended-auto-short-three-rci,java,14.04,48.37,28.19,44.26,73.88
adapted_12b_extended-auto-short-three-rci,python,19.13,52.43,29.13,46.44,76.32
