test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-short-zero,8.91,44.22,19.84,38.75,73.65
adapted_12b_extended-short-zero-rci,8.97,44.74,20.11,38.86,73.71
