test_name,language,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-auto-long-three,c,24.82,58.61,33.30,49.36,76.44
adapted_12b_extended-auto-long-three,cpp,14.09,47.22,20.66,37.85,70.96
adapted_12b_extended-auto-long-three,java,19.81,53.16,24.69,41.30,73.38
adapted_12b_extended-auto-long-three,python,13.31,49.50,21.56,38.38,73.04
adapted_12b_extended-auto-long-three-rci,c,26.04,58.94,34.13,49.85,76.17
adapted_12b_extended-auto-long-three-rci,cpp,14.68,45.86,20.77,37.42,70.74
adapted_12b_extended-auto-long-three-rci,java,19.11,53.95,24.97,42.01,73.81
adapted_12b_extended-auto-long-three-rci,python,15.68,50.64,23.29,40.06,73.76
