test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-long-zero,11.55,46.12,18.30,36.44,71.73
adapted_12b_core-long-zero-rci,11.54,46.10,17.95,36.08,71.99
