test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-short-zero,8.97,43.51,19.48,37.63,73.73
adapted_12b_core-short-zero-rci,8.06,44.57,19.61,38.09,73.87
