test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-xl-long-one,10.13,46.74,18.79,37.05,72.34
adapted_12b_core-xl-long-one-rci,10.54,48.08,19.29,37.23,72.54
