test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-xl-short-one,13.97,48.25,22.98,42.56,76.53
adapted_12b_core-xl-short-one-rci,11.85,46.04,21.54,40.38,75.55
