test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_core-xl-short-three,12.15,44.09,19.96,39.12,74.12
adapted_12b_core-xl-short-three-rci,11.71,43.89,18.75,37.54,73.99
