test_name,no. RCI different,percentage different
adapted_12b_extended_generation_auto_long_one,11,12.50
adapted_12b_extended_generation_auto_long_three,13,14.77
adapted_12b_extended_generation_auto_short_one,9,10.23
adapted_12b_extended_generation_auto_short_three,9,10.23
adapted_12b_extended_generation_xl_long_one,12,13.64
adapted_12b_extended_generation_xl_long_three,9,10.23
adapted_12b_extended_generation_xl_long_zero,15,17.05
adapted_12b_extended_generation_xl_short_one,11,12.50
adapted_12b_extended_generation_xl_short_three,11,12.50
adapted_12b_extended_generation_xl_short_zero,9,10.23
adapted_12b_extended_summarization_auto_long_one,52,59.09
adapted_12b_extended_summarization_auto_long_three,55,62.50
adapted_12b_extended_summarization_auto_short_one,48,54.55
adapted_12b_extended_summarization_auto_short_three,51,57.95
adapted_12b_extended_summarization_xl_long_one,65,73.86
adapted_12b_extended_summarization_xl_long_three,55,62.50
adapted_12b_extended_summarization_xl_long_zero,79,89.77
adapted_12b_extended_summarization_xl_short_one,51,57.95
adapted_12b_extended_summarization_xl_short_three,49,55.68
adapted_12b_extended_summarization_xl_short_zero,64,72.73
