language,corpus_codebleu,corpus_ngram_match_score,corpus_weighted_ngram_match_score,corpus_syntax_match_score,corpus_dataflow_match_score
c,37.11,29.70,31.84,39.54,47.34
cpp,34.94,17.79,20.56,49.56,51.85
java,34.18,25.47,27.55,40.73,42.97
python,35.42,20.72,28.16,43.44,49.36
