repo link,language,relevance_filter,note,commit_hash,license
https://github.com/mercedes-benz/open-simulation-interface,python,1,,222a8f408621f159f61dd26d85a2df84a5e76e65,Mozilla Public License Version 2.0
https://github.com/mercedes-benz/leaderboard,python,1,,111a48f9099c08a2f1068ee8aea2ad56ce52ef9d,MIT License
https://github.com/bmwcarit/ramses-logic,cpp,1,,6fda37096f8e1163f7a090dafbf866e31ef2656d,Mozilla Public License Version 2.0
https://github.com/bmwcarit/ramses-composer,cpp,1,,7861761de439d0f7a02769a17cdfe2d3aa676668,Mozilla Public License Version 2.0
https://github.com/bmwcarit/ramses,cpp,1,,068163a64bde899c55e05bfbc99fbfe379ccec7b,Mozilla Public License Version 2.0
https://github.com/bmwcarit/MoCOCrW,cpp,1,,5aa1b5e32788b5dd83ed291c5b23b0f313f9ab43,Apache License Version 2.0
https://github.com/bmwcarit/wscpp,cpp,1,note: domain-agnostic but meant for vehicle software,36fab44c883e38ac7e549df3f75d7e3897bcc2a2,Apache License Version 2.0
https://github.com/bmwcarit/smrf,cpp,1,note: domain-agnostic but meant for vehicle software,1df475f7f391c44221135443bf137a3b6c584f10,Apache License Version 2.0
https://github.com/bmwcarit/ros_realtime_tests,cpp,1,note: domain-agnostic but very relevant for automotive software,b53739cab799372e2de1010b097916fd6b44fb68,BSD/GPL
https://github.com/bmwcarit/muesli,cpp,1,note: domain-agnostic but relevant for automotive software and made by bmw,2db29283fb510545f1d989be2910452a7760d9e2,Apache License Version 2.0
https://github.com/bmwcarit/ros_chatter,cpp,1,note: domain-agnostic but meant for vehicle software,25d961f34968ebf8c7f89472d913c3c65a7d99f0,BSD 3
https://github.com/bmwcarit/capu,cpp,1,note: domain-agnostic but meant for vehicle software,b04f0c2b44ed875fea6cbbaf326b73a7210272a8,Apache License Version 2.0
https://github.com/bmwcarit/pcl-people-tracker-timing-test,cpp,1,note: domain-agnostic but highly relevant,624e7aee57e74dd77f1db929910bb81d3d3f9090,BSD 3
https://github.com/bmwcarit/lua,c,1,note: domain-agnostic but used for on-vehicle software,9c3ea1aade414143fa77933103373b32ef78f5f0,MIT License
https://github.com/bmwcarit/joynr,java,1,note: domain-agnostic but meant for vehicle software,9488763bd6c8c63b684d524d94c174c8837c8a54,Apache License Version 2.0
https://github.com/bmwcarit/barefoot,java,1,,97f1c03e5df96ef2571f8af443fc6dc39e8b217d,Apache License Version 2.0
https://github.com/bmwcarit/paho.mqtt.java,java,1,note: domain-agnostic but used for on-vehicle software,0468c1ac13d0eb0a33aecfe8984ab6d119ee7c24,Eclipse Public License Version 2.0
https://github.com/bmwcarit/jeromq,java,1,note: domain-agnostic but used for on-vehicle software,4d35ecdad987d74050508f822cf57f2fcedf89f6,Mozilla Public License Version 2.0
https://github.com/bmwcarit/ramses-android,java,1,,d5e561b0ac21f9d879eecd29ecd4b1df2be7fe53,Mozilla Public License Version 2.0
https://github.com/bmwcarit/hmm-lib,java,1,,18f483637138a273406ea397c79ede4999803855,Apache License Version 2.0
https://github.com/bmwcarit/offline-map-matching,java,1,,5b6ad51d9856f56194e392806d1c8866717ac535,Apache License Version 2.0
https://github.com/bmwcarit/acme,java,1,note: domain-agnostic but made by bmw for automotive software engineering,4628df884d1077508380acf99a194f3b51b5b8b7,Apache License Version 2.0
https://github.com/bmwcarit/Emma,python,1,note: domain-agnostic but made by bmw for automotive software engineering,0aed9c7f62f690f96b6d51a88f0a5c93cdde7e24,GNU GENERAL PUBLIC LICENSE
https://github.com/bmwcarit/python-dlt,python,1,,96e0b1602a4b7508952c55158e988a0aa943daeb,Mozilla Public License Version 2.0
https://github.com/bmwcarit/dltlyse,python,1,,b70a24ec09b0bac2eb631279f8b6313195e8a202,Mozilla Public License Version 2.0
https://github.com/bmwcarit/pybip,python,1,note: domain-agnostic but made by bmw for automotive software engineering,e1f02ba23f55f62e6b0a0f67ae2eb75de9db09d1,GNU General Public License Version 3.0
https://github.com/bmwcarit/pypbap,python,1,,9e550213185e23ca44399b6232b02b891b9ccf54,GNU General Public License Version 3.0
https://github.com/bmwcarit/stracepy,python,1,note: domain-agnostic but made by bmw for automotive software engineering,5db2ddc28bb6c6c507fa94eff8d9ca63fe005f14,MIT License
https://github.com/renault/cananalyze,python,1,,103533cfae610313dad0a690266b4a0f663710e9,GNU Lesser General Public License Version 3.0
https://github.com/COVESA/vehicle_signal_specification,YAML,1,,0f9198ff7e305dfeaa979a0c81afccd1cb0ba522,Mozilla Public License Version 2.0
