test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-xl-long-three,10.98,46.52,18.90,36.92,70.95
adapted_12b_extended-xl-long-three-rci,11.99,47.93,19.53,37.52,71.21
