test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
adapted_12b_extended-short-zero,9.63,44.86,20.63,39.52,73.87
adapted_12b_extended-short-zero-rci,9.03,45.66,21.02,39.40,74.17
