test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
base_12b-long-zero,11.16,46.91,17.91,35.41,70.94
base_12b-long-zero-rci,11.66,45.89,17.55,34.64,71.25
