test_name,language,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
base_12b-xl-short-three,c,7.66,48.48,17.90,43.87,75.77
base_12b-xl-short-three,cpp,5.47,37.72,11.32,31.47,73.76
base_12b-xl-short-three,java,14.51,50.69,26.05,45.09,75.05
base_12b-xl-short-three,python,12.79,46.88,19.57,39.94,75.43
base_12b-xl-short-three-rci,c,4.69,45.28,15.84,40.14,74.73
base_12b-xl-short-three-rci,cpp,4.25,35.90,8.48,30.44,73.74
base_12b-xl-short-three-rci,java,12.46,51.79,25.01,45.41,76.27
base_12b-xl-short-three-rci,python,6.45,43.61,16.58,36.35,74.09
