test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
base_12b-xl-short-one,10.75,46.89,19.95,39.98,75.79
base_12b-xl-short-one-rci,8.90,44.47,17.34,38.29,74.99
