test_name,bleu_score,corpus_rouge1,corpus_rouge2,corpus_rougeL,corpus_bertscore_f1
base_12b-xl-short-three,10.62,45.79,18.85,40.09,75.00
base_12b-xl-short-three-rci,7.28,44.12,16.50,38.11,74.71
